"Neighborhood","TotalUnits","LandSqFt","GrossSqFt","YearBuilt","TaxClass","SalePrice"
"MIDTOWN WEST             ",1,0,0,2005,"Class 2",1400000
"MURRAY HILL              ",1,0,0,2008,"Class 2",1400000
"SOUTHBRIDGE              ",1,0,0,1919,"Class 2",1400000
"SOUTHBRIDGE              ",1,0,0,0,"Class 2",1400000
"TRIBECA                  ",1,0,0,0,"Class 2",1400000
"UPPER EAST SIDE (59-79)  ",1,0,0,1987,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",0,0,0,1957,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",0,0,0,1970,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",0,0,0,1901,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",1,0,0,1998,"Class 2",1400000
"UPPER EAST SIDE (79-96)  ",1,2517,7050,1970,"Class 4",1400000
"UPPER WEST SIDE (59-79)  ",1,0,0,1932,"Class 2",1400000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1400000
"UPPER WEST SIDE (59-79)  ",1,0,0,1987,"Class 2",1400000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1400000
"UPPER WEST SIDE (59-79)  ",0,0,0,1965,"Class 2",1400000
"UPPER WEST SIDE (79-96)  ",0,0,0,1925,"Class 2",1400000
"UPPER WEST SIDE (79-96)  ",0,0,0,1917,"Class 2",1400000
"UPPER WEST SIDE (79-96)  ",1,0,0,1985,"Class 2",1400000
"UPPER WEST SIDE (79-96)  ",0,0,0,1986,"Class 2",1400000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",1400000
"UPPER WEST SIDE (96-116) ",1,0,0,1920,"Class 2",1400000
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",1400007
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1400093
"FINANCIAL                ",1,0,0,1920,"Class 2",1400093
"TRIBECA                  ",0,0,0,1915,"Class 2",1402050
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1402093
"UPPER WEST SIDE (79-96)  ",0,0,0,1928,"Class 2",1404000
"FINANCIAL                ",1,0,0,1906,"Class 2",1405000
"MANHATTAN VALLEY         ",1,0,0,1941,"Class 2",1405000
"MIDTOWN EAST             ",1,0,0,1983,"Class 2",1405000
"SOHO                     ",1,0,0,2007,"Class 4",1405000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",1405000
"UPPER WEST SIDE (59-79)  ",0,0,0,1920,"Class 2",1405000
"MANHATTAN VALLEY         ",1,0,0,1960,"Class 2",1405185
"SOUTHBRIDGE              ",1,0,0,1900,"Class 2",1405185
"UPPER WEST SIDE (79-96)  ",0,0,0,1927,"Class 2",1406000
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1407185
"EAST VILLAGE             ",1,0,0,2007,"Class 2",1410000
"FASHION                  ",1,0,0,2006,"Class 2",1410000
"KIPS BAY                 ",1,0,0,0,"Class 2",1410000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",1410000
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",1410000
"UPPER WEST SIDE (96-116) ",1,0,0,0,"Class 2",1410000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1411000
"UPPER WEST SIDE (59-79)  ",0,0,0,1962,"Class 2",1412000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",1413500
"MIDTOWN WEST             ",1,0,0,2005,"Class 2",1415000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",1415000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1923,"Class 2",1420000
"MANHATTAN VALLEY         ",1,0,0,1961,"Class 2",1420000
"MIDTOWN WEST             ",1,0,0,2006,"Class 2",1420000
"UPPER EAST SIDE (59-79)  ",1,0,0,1986,"Class 2",1420000
"UPPER WEST SIDE (79-96)  ",1,0,0,1985,"Class 2",1420000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",1420000
"UPPER WEST SIDE (96-116) ",1,0,0,1920,"Class 2",1421000
"GRAMERCY                 ",1,0,0,2012,"Class 2",1421466
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1422458
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1422458
"UPPER EAST SIDE (59-79)  ",1,0,0,2007,"Class 2",1424531
"FASHION                  ",1,0,0,2006,"Class 2",1425000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1908,"Class 2",1425000
"GREENWICH VILLAGE-WEST   ",0,0,0,1961,"Class 2",1425000
"MIDTOWN EAST             ",0,0,0,1958,"Class 2",1425000
"MIDTOWN EAST             ",1,0,0,1979,"Class 2",1425000
"MIDTOWN EAST             ",1,0,0,1984,"Class 2",1425000
"MURRAY HILL              ",1,0,0,1900,"Class 4",1425000
"UPPER EAST SIDE (79-96)  ",0,0,0,1957,"Class 2",1425000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1425000
"UPPER WEST SIDE (59-79)  ",0,0,0,1925,"Class 2",1425000
"UPPER WEST SIDE (79-96)  ",0,0,0,1931,"Class 2",1425000
"UPPER WEST SIDE (79-96)  ",1,0,0,0,"Class 2",1425000
"CIVIC CENTER             ",1,0,0,1924,"Class 2",1425550
"FINANCIAL                ",1,0,0,1987,"Class 2",1425550
"FINANCIAL                ",1,0,0,2003,"Class 2",1425550
"FLATIRON                 ",1,0,0,1983,"Class 2",1425550
"MIDTOWN WEST             ",1,0,0,1926,"Class 2",1425550
"UPPER EAST SIDE (59-79)  ",1,0,0,1941,"Class 2",1425550
"UPPER WEST SIDE (79-96)  ",1,0,0,1926,"Class 2",1425550
"FLATIRON                 ",0,0,0,1911,"Class 2",1426500
"GREENWICH VILLAGE-CENTRAL",0,0,0,1929,"Class 2",1426500
"UPPER EAST SIDE (59-79)  ",0,0,0,1948,"Class 2",1426500
"UPPER EAST SIDE (59-79)  ",0,0,0,1959,"Class 2",1426500
"UPPER WEST SIDE (79-96)  ",0,0,0,1912,"Class 2",1427000
"UPPER WEST SIDE (96-116) ",1,0,0,1923,"Class 2",1427000
"GRAMERCY                 ",1,0,0,1987,"Class 2",1428000
"EAST VILLAGE             ",1,0,0,2007,"Class 2",1429000
"UPPER EAST SIDE (79-96)  ",0,0,0,1928,"Class 2",1429000
"GRAMERCY                 ",1,0,0,2012,"Class 2",1429612
"FINANCIAL                ",1,0,0,1982,"Class 2",1430000
"FINANCIAL                ",1,0,0,1909,"Class 2",1430000
"MIDTOWN EAST             ",1,0,0,1983,"Class 2",1430000
"MIDTOWN WEST             ",1,0,0,2005,"Class 2",1430000
"UPPER WEST SIDE (59-79)  ",0,0,0,1905,"Class 2",1430000
"GRAMERCY                 ",0,0,0,1920,"Class 2",1431000
"GREENWICH VILLAGE-CENTRAL",1,0,0,1910,"Class 2",1431000
"GREENWICH VILLAGE-WEST   ",1,0,0,0,"Class 2",1431250
"UPPER EAST SIDE (79-96)  ",0,0,0,1928,"Class 2",1433000
"FASHION                  ",0,0,0,1922,"Class 2",1435000
"FLATIRON                 ",1,0,0,1906,"Class 2",1435000
"HARLEM-EAST              ",9,2525,6060,1900,"Class 2",1435000
"UPPER EAST SIDE (79-96)  ",0,0,0,1971,"Class 2",1435000
"UPPER WEST SIDE (59-79)  ",0,0,0,1968,"Class 2",1435000
"UPPER WEST SIDE (59-79)  ",0,0,0,1926,"Class 2",1435000
"UPPER WEST SIDE (79-96)  ",0,0,0,1925,"Class 2",1435000
"UPPER WEST SIDE (96-116) ",1,0,0,1923,"Class 2",1435000
"MANHATTAN VALLEY         ",1,0,0,2012,"Class 2",1438787
"HARLEM-CENTRAL           ",9,1810,2691,1900,"Class 2",1440000
"MIDTOWN WEST             ",1,0,0,2006,"Class 2",1440000
"MIDTOWN WEST             ",1,0,0,2004,"Class 2",1440000
"UPPER EAST SIDE (59-79)  ",0,0,0,1936,"Class 2",1440000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1440018
"MANHATTAN VALLEY         ",1,0,0,2012,"Class 2",1440823
"MIDTOWN WEST             ",1,0,0,1950,"Class 2",1442350
"FLATIRON                 ",1,0,0,1900,"Class 2",1445000
"GREENWICH VILLAGE-WEST   ",1,0,0,1987,"Class 2",1445000
"UPPER EAST SIDE (59-79)  ",1,0,0,1987,"Class 2",1445000
"UPPER EAST SIDE (79-96)  ",1,0,0,1974,"Class 2",1445000
"UPPER WEST SIDE (79-96)  ",1,0,0,0,"Class 2",1445000
"FINANCIAL                ",1,0,0,2007,"Class 2",1445915
"MURRAY HILL              ",1,0,0,2006,"Class 2",1445915
"UPPER EAST SIDE (79-96)  ",1,0,0,1974,"Class 2",1449000
"CHELSEA                  ",1,0,0,2008,"Class 2",1450000
"CLINTON                  ",1,0,0,2005,"Class 2",1450000
"FINANCIAL                ",1,0,0,2005,"Class 2",1450000
"FINANCIAL                ",1,0,0,1928,"Class 2",1450000
"FINANCIAL                ",1,0,0,1906,"Class 2",1450000
"FLATIRON                 ",0,0,0,1911,"Class 2",1450000
"FLATIRON                 ",0,0,0,1911,"Class 2",1450000
"FLATIRON                 ",1,0,0,1913,"Class 2",1450000
"FLATIRON                 ",1,0,0,1986,"Class 2",1450000
"GRAMERCY                 ",1,0,0,2004,"Class 2",1450000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1964,"Class 2",1450000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1900,"Class 2",1450000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1926,"Class 2",1450000
"GREENWICH VILLAGE-WEST   ",0,0,0,1929,"Class 2",1450000
"HARLEM-CENTRAL           ",3,1665,3332,1910,"Class 1",1450000
"HARLEM-CENTRAL           ",4,1998,4072,1910,"Class 2",1450000
"HARLEM-CENTRAL           ",8,1600,6355,1910,"Class 2",1450000
"HARLEM-CENTRAL           ",6,1280,3590,1899,"Class 2",1450000
"HARLEM-CENTRAL           ",1,0,0,1901,"Class 2",1450000
"HARLEM-CENTRAL           ",0,2498,0,0,"Class 4",1450000
"HARLEM-EAST              ",8,2523,6000,1900,"Class 2",1450000
"HARLEM-EAST              ",4,1665,4760,1910,"Class 2",1450000
"HARLEM-UPPER             ",4,2098,4284,1920,"Class 2",1450000
"JAVITS CENTER            ",1,0,0,0,"Class 2",1450000
"KIPS BAY                 ",1,0,0,0,"Class 2",1450000
"LOWER EAST SIDE          ",1,0,0,0,"Class 2",1450000
"MIDTOWN CBD              ",1,0,0,1975,"Class 2",1450000
"MIDTOWN EAST             ",0,0,0,1977,"Class 2",1450000
"MIDTOWN EAST             ",1,0,0,1984,"Class 2",1450000
"MIDTOWN WEST             ",0,0,0,1909,"Class 2",1450000
"MIDTOWN WEST             ",1,0,0,1989,"Class 2",1450000
"MIDTOWN WEST             ",1,0,0,2005,"Class 2",1450000
"MIDTOWN WEST             ",1,0,0,0,"Class 2",1450000
"MURRAY HILL              ",1,0,0,2005,"Class 2",1450000
"MURRAY HILL              ",1,0,0,2007,"Class 2",1450000
"MURRAY HILL              ",1,0,0,2006,"Class 2",1450000
"MURRAY HILL              ",1,0,0,1960,"Class 2",1450000
"MURRAY HILL              ",1,0,0,0,"Class 2",1450000
"MURRAY HILL              ",1,0,0,0,"Class 2",1450000
"SOHO                     ",1,0,0,2007,"Class 4",1450000
"TRIBECA                  ",1,0,0,2005,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",0,0,0,1960,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",1,0,0,1986,"Class 2",1450000
"UPPER EAST SIDE (59-79)  ",1,0,0,1963,"Class 2",1450000
"UPPER EAST SIDE (79-96)  ",0,0,0,1924,"Class 2",1450000
"UPPER EAST SIDE (79-96)  ",0,0,0,1963,"Class 2",1450000
"UPPER EAST SIDE (79-96)  ",1,0,0,1987,"Class 2",1450000
"UPPER WEST SIDE (59-79)  ",0,0,0,1927,"Class 2",1450000
"UPPER WEST SIDE (59-79)  ",1,0,0,1989,"Class 2",1450000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1450000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1450000
"UPPER WEST SIDE (79-96)  ",1,0,0,1900,"Class 1",1450000
"UPPER WEST SIDE (79-96)  ",1,0,0,1912,"Class 2",1450000
"UPPER WEST SIDE (79-96)  ",1,0,0,1985,"Class 2",1450000
"WASHINGTON HEIGHTS LOWER ",4,1750,2954,1896,"Class 2",1450000
"GRAMERCY                 ",1,0,0,0,"Class 2",1450836
"UPPER WEST SIDE (79-96)  ",1,0,0,1986,"Class 2",1451006
"UPPER WEST SIDE (79-96)  ",1,0,0,1986,"Class 2",1451006
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1454000
"FINANCIAL                ",1,0,0,1909,"Class 2",1455000
"HARLEM-CENTRAL           ",3,1599,4480,1910,"Class 1",1455000
"MIDTOWN EAST             ",0,0,0,1927,"Class 2",1455000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",1456097
"UPPER EAST SIDE (79-96)  ",0,0,0,1963,"Class 2",1457000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1457500
"MURRAY HILL              ",1,0,0,0,"Class 2",1459000
"CLINTON                  ",1,0,0,2006,"Class 2",1460000
"FINANCIAL                ",1,0,0,1987,"Class 2",1460000
"FINANCIAL                ",1,0,0,1906,"Class 2",1460000
"GREENWICH VILLAGE-CENTRAL",1,0,0,1985,"Class 2",1460000
"GREENWICH VILLAGE-WEST   ",1,0,0,1920,"Class 2",1460000
"KIPS BAY                 ",1,0,0,2009,"Class 2",1460000
"UPPER EAST SIDE (59-79)  ",0,0,0,1961,"Class 2",1460000
"UPPER EAST SIDE (79-96)  ",0,0,0,1930,"Class 2",1460000
"UPPER EAST SIDE (79-96)  ",0,0,0,1928,"Class 2",1460000
"UPPER WEST SIDE (96-116) ",0,0,0,1924,"Class 2",1460000
"UPPER WEST SIDE (96-116) ",0,0,0,1926,"Class 2",1460000
"MANHATTAN VALLEY         ",1,0,0,2012,"Class 2",1460170
"UPPER EAST SIDE (96-110) ",1,0,0,1928,"Class 2",1461188
"UPPER EAST SIDE (79-96)  ",1,0,0,1920,"Class 2",1462500
"GREENWICH VILLAGE-WEST   ",1,0,0,1961,"Class 2",1465000
"MIDTOWN WEST             ",0,0,0,1909,"Class 2",1465000
"MURRAY HILL              ",1,0,0,2008,"Class 2",1465000
"UPPER EAST SIDE (79-96)  ",0,0,0,1938,"Class 2",1465000
"UPPER EAST SIDE (79-96)  ",1,0,0,1974,"Class 2",1465000
"UPPER WEST SIDE (59-79)  ",0,0,0,1905,"Class 2",1465000
"FINANCIAL                ",1,0,0,1987,"Class 2",1466022
"EAST VILLAGE             ",1,0,0,0,"Class 2",1467764
"LITTLE ITALY             ",0,0,0,1905,"Class 2",1468000
"FASHION                  ",1,0,0,1924,"Class 4",1468466
"CLINTON                  ",1,0,0,2008,"Class 2",1470000
"FINANCIAL                ",1,0,0,1928,"Class 2",1470000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1927,"Class 2",1470000
"MIDTOWN EAST             ",0,0,0,1960,"Class 2",1470000
"MIDTOWN WEST             ",1,0,0,1987,"Class 2",1470000
"UPPER EAST SIDE (59-79)  ",1,0,0,0,"Class 2",1470000
"UPPER EAST SIDE (79-96)  ",1,0,0,1988,"Class 2",1470000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1470000
"MURRAY HILL              ",1,0,0,2005,"Class 2",1471000
"CIVIC CENTER             ",1,0,0,1924,"Class 2",1471371
"MURRAY HILL              ",1,0,0,1917,"Class 2",1471371
"LOWER EAST SIDE          ",1,0,0,1900,"Class 2",1472000
"CHELSEA                  ",1,0,0,2006,"Class 2",1475000
"CHELSEA                  ",1,0,0,0,"Class 2",1475000
"CHELSEA                  ",0,0,0,0,"Class 2",1475000
"EAST VILLAGE             ",0,0,0,1928,"Class 2",1475000
"FLATIRON                 ",0,0,0,1911,"Class 2",1475000
"FLATIRON                 ",1,0,0,1913,"Class 2",1475000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1965,"Class 2",1475000
"GREENWICH VILLAGE-WEST   ",0,0,0,1968,"Class 2",1475000
"GREENWICH VILLAGE-WEST   ",0,0,0,1911,"Class 2",1475000
"GREENWICH VILLAGE-WEST   ",0,0,0,1929,"Class 2",1475000
"HARLEM-CENTRAL           ",1,0,0,1910,"Class 2",1475000
"KIPS BAY                 ",1,0,0,0,"Class 2",1475000
"MIDTOWN EAST             ",1,0,0,1985,"Class 2",1475000
"MIDTOWN WEST             ",1,0,0,1987,"Class 2",1475000
"MIDTOWN WEST             ",1,0,0,2005,"Class 2",1475000
"UPPER EAST SIDE (59-79)  ",0,0,0,1960,"Class 2",1475000
"UPPER EAST SIDE (59-79)  ",1,0,0,1984,"Class 2",1475000
"UPPER EAST SIDE (59-79)  ",0,0,0,1963,"Class 2",1475000
"UPPER EAST SIDE (79-96)  ",0,0,0,1902,"Class 2",1475000
"UPPER WEST SIDE (59-79)  ",0,0,0,1902,"Class 2",1475000
"UPPER WEST SIDE (59-79)  ",0,0,0,1928,"Class 2",1475000
"UPPER WEST SIDE (59-79)  ",0,0,0,1964,"Class 2",1475000
"UPPER WEST SIDE (96-116) ",1,0,0,0,"Class 2",1475000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1930,"Class 2",1475000
"FINANCIAL                ",1,0,0,2003,"Class 2",1476462
"GRAMERCY                 ",1,0,0,0,"Class 2",1476462
"GRAMERCY                 ",1,0,0,0,"Class 2",1476462
"GREENWICH VILLAGE-CENTRAL",0,0,0,1965,"Class 2",1476462
"MIDTOWN EAST             ",1,0,0,1972,"Class 2",1476462
"MIDTOWN WEST             ",1,0,0,1925,"Class 2",1476462
"UPPER WEST SIDE (79-96)  ",1,0,0,1900,"Class 2",1476462
"MIDTOWN CBD              ",1,0,0,0,"Class 2",1478888
"ALPHABET CITY            ",0,0,0,1900,"Class 2",1480000
"CHELSEA                  ",0,0,0,1900,"Class 2",1480000
"GREENWICH VILLAGE-WEST   ",0,0,0,1939,"Class 2",1480000
"HARLEM-UPPER             ",4,1249,2896,1926,"Class 2",1480000
"MIDTOWN EAST             ",1,0,0,1979,"Class 2",1480000
"MURRAY HILL              ",1,0,0,0,"Class 2",1480000
"MURRAY HILL              ",1,0,0,2005,"Class 2",1480000
"SOHO                     ",0,0,0,1900,"Class 2",1480000
"TRIBECA                  ",1,0,0,1985,"Class 2",1480000
"UPPER EAST SIDE (79-96)  ",0,0,0,1962,"Class 2",1480000
"UPPER WEST SIDE (79-96)  ",0,0,0,1922,"Class 2",1480000
"UPPER WEST SIDE (96-116) ",0,0,0,1929,"Class 2",1480000
"MANHATTAN VALLEY         ",1,0,0,2012,"Class 2",1480535
"UPPER WEST SIDE (59-79)  ",0,0,0,1926,"Class 2",1481691
"EAST VILLAGE             ",1,0,0,2012,"Class 2",1482500
"GRAMERCY                 ",1,0,0,2012,"Class 2",1482990
"CHELSEA                  ",1,0,0,2006,"Class 2",1485000
"CHELSEA                  ",1,0,0,0,"Class 2",1485000
"EAST VILLAGE             ",1,0,0,1920,"Class 2",1485000
"FLATIRON                 ",1,0,0,0,"Class 2",1485000
"FLATIRON                 ",1,0,0,1900,"Class 2",1485000
"GREENWICH VILLAGE-CENTRAL",1,0,0,1910,"Class 2",1485000
"MIDTOWN EAST             ",0,0,0,1967,"Class 2",1485000
"MIDTOWN EAST             ",0,0,0,1956,"Class 2",1485000
"UPPER EAST SIDE (59-79)  ",1,0,0,1987,"Class 2",1485000
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",1485656
"UPPER WEST SIDE (79-96)  ",1,0,0,0,"Class 2",1487000
"UPPER EAST SIDE (59-79)  ",1,0,0,1941,"Class 2",1487500
"GREENWICH VILLAGE-CENTRAL",1,0,0,1912,"Class 2",1488000
"MIDTOWN WEST             ",0,0,0,1908,"Class 2",1488711
"MIDTOWN CBD              ",1,0,0,1973,"Class 2",1490000
"MIDTOWN WEST             ",1,0,0,2006,"Class 2",1490000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1490000
"MIDTOWN WEST             ",1,0,0,1978,"Class 2",1492500
"CHELSEA                  ",1,0,0,2008,"Class 2",1495000
"CHELSEA                  ",0,0,0,0,"Class 2",1495000
"FLATIRON                 ",1,0,0,0,"Class 2",1495000
"GRAMERCY                 ",0,0,0,1931,"Class 2",1495000
"GRAMERCY                 ",1,0,0,1987,"Class 2",1495000
"UPPER EAST SIDE (59-79)  ",0,0,0,1965,"Class 2",1495000
"UPPER EAST SIDE (59-79)  ",1,0,0,1929,"Class 2",1495000
"UPPER WEST SIDE (59-79)  ",0,0,0,1924,"Class 2",1495000
"UPPER WEST SIDE (79-96)  ",0,0,0,1900,"Class 2",1495000
"UPPER WEST SIDE (96-116) ",0,0,0,1920,"Class 2",1495000
"GRAMERCY                 ",1,0,0,2012,"Class 2",1495799
"TRIBECA                  ",1,0,0,1895,"Class 2",1496827
"HARLEM-EAST              ",3,1926,3864,2002,"Class 1",1498000
"UPPER EAST SIDE (59-79)  ",0,0,0,1928,"Class 2",1498650
"GRAMERCY                 ",1,0,0,2012,"Class 2",1498853
"UPPER WEST SIDE (96-116) ",0,0,0,1940,"Class 2",1499000
"HARLEM-CENTRAL           ",16,1406,5758,1910,"Class 2",1499013
"CHELSEA                  ",0,0,0,1938,"Class 2",1500000
"CHELSEA                  ",1,0,0,2008,"Class 2",1500000
"CIVIC CENTER             ",0,0,0,1960,"Class 2",1500000
"CLINTON                  ",1,0,0,1988,"Class 2",1500000
"CLINTON                  ",1,0,0,2005,"Class 2",1500000
"FINANCIAL                ",1,0,0,1967,"Class 2",1500000
"FINANCIAL                ",1,0,0,1987,"Class 4",1500000
"FLATIRON                 ",0,0,0,1965,"Class 2",1500000
"FLATIRON                 ",0,0,0,1911,"Class 2",1500000
"GRAMERCY                 ",0,0,0,1931,"Class 2",1500000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1926,"Class 2",1500000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1900,"Class 2",1500000
"GREENWICH VILLAGE-CENTRAL",0,0,0,1965,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",0,0,0,1963,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",0,0,0,1900,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",1,0,0,1910,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",1,0,0,1920,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",1,0,0,0,"Class 2",1500000
"GREENWICH VILLAGE-WEST   ",1,0,0,1990,"Class 4",1500000
"MANHATTAN VALLEY         ",0,2624,0,0,"Class 4",1500000
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",1500000
"MIDTOWN EAST             ",0,0,0,1975,"Class 2",1500000
"MIDTOWN EAST             ",0,0,0,1960,"Class 2",1500000
"MIDTOWN WEST             ",0,0,0,1935,"Class 2",1500000
"MIDTOWN WEST             ",1,0,0,1926,"Class 2",1500000
"MIDTOWN WEST             ",1,0,0,2006,"Class 2",1500000
"MIDTOWN WEST             ",1,0,0,2006,"Class 2",1500000
"MIDTOWN WEST             ",1,0,0,2004,"Class 2",1500000
"MURRAY HILL              ",0,0,0,1941,"Class 2",1500000
"MURRAY HILL              ",1,0,0,2005,"Class 2",1500000
"MURRAY HILL              ",1,0,0,0,"Class 2",1500000
"TRIBECA                  ",1,0,0,2005,"Class 2",1500000
"TRIBECA                  ",1,0,0,1988,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",0,0,0,1928,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",0,0,0,1959,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",0,0,0,1958,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",1,0,0,0,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",1,0,0,1951,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",1,0,0,0,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",1,0,0,1985,"Class 2",1500000
"UPPER EAST SIDE (59-79)  ",1,0,0,1986,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1920,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1955,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1960,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1940,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1971,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",0,0,0,1929,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",1,0,0,0,"Class 2",1500000
"UPPER EAST SIDE (79-96)  ",1,0,0,1998,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",0,0,0,1911,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",0,0,0,1927,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",0,0,0,1929,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",0,0,0,1950,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",1,0,0,1983,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",1,0,0,1926,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",1,0,0,2007,"Class 2",1500000
"UPPER WEST SIDE (59-79)  ",0,0,0,1977,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",0,0,0,1900,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",0,0,0,1911,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",0,0,0,1931,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",0,0,0,1914,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",1,0,0,1973,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",1,0,0,1931,"Class 2",1500000
"UPPER WEST SIDE (79-96)  ",0,0,0,1987,"Class 2",1500000
"UPPER WEST SIDE (96-116) ",36,5050,23244,1921,"Class 2",1500000
"UPPER WEST SIDE (96-116) ",0,0,0,1925,"Class 2",1500000
"UPPER WEST SIDE (96-116) ",1,0,0,2005,"Class 2",1500000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1930,"Class 2",1500000
"MIDTOWN EAST             ",1,0,0,0,"Class 2",1500001
"LOWER EAST SIDE          ",1,0,0,1979,"Class 2",1501918
"UPPER WEST SIDE (79-96)  ",1,0,0,1926,"Class 2",1501918
"UPPER EAST SIDE (79-96)  ",0,0,0,1925,"Class 2",1503500
"CHELSEA                  ",1,0,0,2012,"Class 2",1507010
"UPPER WEST SIDE (59-79)  ",1,0,0,2005,"Class 2",1507333
"UPPER WEST SIDE (59-79)  ",0,0,0,1963,"Class 2",1507500
"FINANCIAL                ",1,0,0,1914,"Class 2",1510000
"HARLEM-CENTRAL           ",2,1168,3060,2012,"Class 1",1510000
"HARLEM-EAST              ",9,1896,6516,1910,"Class 2",1510000
"UPPER WEST SIDE (59-79)  ",1,0,0,1979,"Class 2",1510000
"UPPER WEST SIDE (59-79)  ",1,0,0,1924,"Class 2",1510000
"MIDTOWN EAST             ",1,0,0,0,"Class 2",1511250
